Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,latitude,longitude,ABN 2,ACN,Employees,Established,Licence No.,ABN Status,ABN,ABN Type,Country,Banner,Corporate,Corporate 2
TARNEIT PHARMACY,Chemist & Pharmacy Stores,412 Derrimut Rd,Tarneit,VIC,3029,(03) 8742 7717,http://www.tarneitpharmacy.com.au,tarneit@hcpharmacy.com.au,,-37.846854,144.689346,,,,,,Active,89 519 676 045,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Chemist Connect,Chemist & Pharmacy Stores,Shop 11 368 Hamilton Rd,Fairfield West,NSW,2165,(02) 9604 2758,https://aged-care.chemistconnect.com.au/store-locations,"prospect@chemistconnect.com.au,fairfield@chemistconnect.com.au,sandgate@chemistconnect.com.au,",,-33.86944,150.92299,,,,,,Active,74 135 268 030,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Chemist Connect,Chemist & Pharmacy Stores,2/ 3 Aldgate St,Prospect,NSW,2148,(02) 9631 0941,https://aged-care.chemistconnect.com.au/store-locations,"prospect@chemistconnect.com.au,fairfield@chemistconnect.com.au,sandgate@chemistconnect.com.au,",,-33.799481,150.926206,,,,,,Active,74 135 268 030,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Kanwal Village Pharmacy,Chemist & Pharmacy Stores,1/ 260 Wallarah Rd,Kanwal,NSW,2259,(02) 4392 5533,www.amcal.com.au,"platinum.service@signet.com.au,info@amcalrewards.com.au,kanwalvillage@amcal.net.au",,-33.253508,151.492851,73 682 899 462,,,,,Active,73 682 899 462,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Mornington Amcal Pharmacy,Chemist & Pharmacy Stores,113 Main St,Mornington,VIC,3931,(03) 5975 2554,http://www.amcal.com.au/,"platinum.service@signet.com.au,info@amcalrewards.com.au,",,-38.22015,145.03858,86 928 861 011,,,1965,,Active,17 643 845 827,Business Name,AUS,Amcal,SIG,Mergeco
Rosebud Plaza Amcal Pharmacy,Chemist & Pharmacy Stores,"Shop 8, Rosebud Plaza Shopping Centre, Boneo Rd",Rosebud,VIC,3939,(03) 5986 7299,https://www.amcal.com.au/,"platinum.service@signet.com.au,info@amcalrewards.com.au,",,-38.36111,144.891385,,,,,,Active,59 849 212 757,Business Name,AUS,Amcal,SIG,Mergeco
Derwent Park Pharmacy,Chemist & Pharmacy Stores,254 Main Rd,Derwent Park,TAS,7009,(03) 6272 6601,www.guardianpharmacies.com.au,"platinum.service@signet.com.au,montrose@guardianpharm.net",,-42.836598,147.286763,,101 890 537,Nov-20,1978,Aboriginal health services,Active,24 775 457 640,Other Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Chemists Own,Chemist & Pharmacy Stores,96 Merrindale Dr,Croydon South,VIC,3136,1800 003 013,http://www.chemistsown.com.au/,"patient.safety@arrotex.com.au,",,-37.816433,145.29595,,,,,,Active,33 605 909 911,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Optimal Pharmacy Plus Ellenbrook,Chemist & Pharmacy Stores,"The Shops 59, Pinaster Pde",Ellenbrook,WA,6069,(08) 6296 5213,optimalpharmacyplus.com.au,"oppap@iinet.net.au,oppa@westnet.com.au,oppac@westnet.com.au,oppba@westnet.com.au,oppbeechboro@westnet.com.au,pharmacy@carineglades.com.au,oppc@westnet.com.au,oppd@westnet.com.au,oppdo@iinet.net.au,oppe@iinet.net.au,opphh@westnet.com.au,oppms@westnet.com.au,oppmi@westnet.com.au,oppn@westnet.com.au,oppq@westnet.com.au,oppsc@iinet.net.au,oppsl@iinet.net.au,oppsb@westnet.com.au,oppw@westnet.com.au,oppbv@iinet.net.au,oppco@westnet.com.au,opphhc@iinet.net.au,oppno@iinet.net.au,sc-oppwy@iinet.net.au,oppj@westnet.com.au,oppkk@iinet.net.au,oppr@iinet.net.au,oppstafford@iinet.net.au,oppap@iinet.net.auge,oppa@westnet.com.auge,oppac@westnet.com.auge,oppba@westnet.com.auge,oppc@westnet.com.auge,oppd@westnet.com.auge,oppdo@iinet.net.auge,oppe@iinet.net.auge,opphh@westnet.com.auge,oppms@westnet.com.auge,oppmi@westnet.com.auge,oppn@westnet.com.auge,oppq@westnet.com.auge,oppsc@iinet.net.auge,oppsl@iinet.net.auge,oppw@westnet.com.auge,oppbv@iinet.net.auge,oppco@westnet.com.auge,opphhc@iinet.net.auge,oppno@iinet.net.auge,sc-oppwy@iinet.net.auge,oppj@westnet.com.auge,oppkk@iinet.net.auge,oppr@iinet.net.auge,oppstafford@iinet.net.auge,admin@optimalsystems.com.au",,-31.788361,115.96708,,,,,,Active,26 880 026 316,Other Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Optimal Pharmacy Plus Sunset Beach,Chemist & Pharmacy Stores,"Shp 5/ Sunset Shopping Plaza, 582 Chapman Road",Glenfield,WA,6532,(08) 9938 3274,https://optimalpharmacyplus.com.au/,"oppap@iinet.net.au,oppa@westnet.com.au,oppac@westnet.com.au,oppba@westnet.com.au,oppbeechboro@westnet.com.au,pharmacy@carineglades.com.au,oppc@westnet.com.au,oppd@westnet.com.au,oppdo@iinet.net.au,oppe@iinet.net.au,opphh@westnet.com.au,oppms@westnet.com.au,oppmi@westnet.com.au,oppn@westnet.com.au,oppq@westnet.com.au,oppsc@iinet.net.au,oppsl@iinet.net.au,oppsb@westnet.com.au,oppw@westnet.com.au,oppbv@iinet.net.au,oppco@westnet.com.au,opphhc@iinet.net.au,oppno@iinet.net.au,sc-oppwy@iinet.net.au,oppj@westnet.com.au,oppkk@iinet.net.au,oppr@iinet.net.au,oppstafford@iinet.net.au,oppap@iinet.net.auge,oppa@westnet.com.auge,oppac@westnet.com.auge,oppba@westnet.com.auge,oppc@westnet.com.auge,oppd@westnet.com.auge,oppdo@iinet.net.auge,oppe@iinet.net.auge,opphh@westnet.com.auge,oppms@westnet.com.auge,oppmi@westnet.com.auge,oppn@westnet.com.auge,oppq@westnet.com.auge,oppsc@iinet.net.auge,oppsl@iinet.net.auge,oppw@westnet.com.auge,oppbv@iinet.net.auge,oppco@westnet.com.auge,opphhc@iinet.net.auge,oppno@iinet.net.auge,sc-oppwy@iinet.net.auge,oppj@westnet.com.auge,oppkk@iinet.net.auge,oppr@iinet.net.auge,oppstafford@iinet.net.auge,",,-28.722878,114.627297,91 536 597 229,,1-Oct,2006,,Active,58 752 984 995,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Optimal Pharmacy Plus Sunset Beach,Chemist & Pharmacy Stores,,Glenfield,WA,6532,(08) 9938 3274,https://optimalpharmacyplus.com.au/,"oppap@iinet.net.au,oppa@westnet.com.au,oppac@westnet.com.au,oppba@westnet.com.au,oppbeechboro@westnet.com.au,pharmacy@carineglades.com.au,oppc@westnet.com.au,oppd@westnet.com.au,oppdo@iinet.net.au,oppe@iinet.net.au,opphh@westnet.com.au,oppms@westnet.com.au,oppmi@westnet.com.au,oppn@westnet.com.au,oppq@westnet.com.au,oppsc@iinet.net.au,oppsl@iinet.net.au,oppsb@westnet.com.au,oppw@westnet.com.au,oppbv@iinet.net.au,oppco@westnet.com.au,opphhc@iinet.net.au,oppno@iinet.net.au,sc-oppwy@iinet.net.au,oppj@westnet.com.au,oppkk@iinet.net.au,oppr@iinet.net.au,oppstafford@iinet.net.au,oppap@iinet.net.auge,oppa@westnet.com.auge,oppac@westnet.com.auge,oppba@westnet.com.auge,oppc@westnet.com.auge,oppd@westnet.com.auge,oppdo@iinet.net.auge,oppe@iinet.net.auge,opphh@westnet.com.auge,oppms@westnet.com.auge,oppmi@westnet.com.auge,oppn@westnet.com.auge,oppq@westnet.com.auge,oppsc@iinet.net.auge,oppsl@iinet.net.auge,oppw@westnet.com.auge,oppbv@iinet.net.auge,oppco@westnet.com.auge,opphhc@iinet.net.auge,oppno@iinet.net.auge,sc-oppwy@iinet.net.auge,oppj@westnet.com.auge,oppkk@iinet.net.auge,oppr@iinet.net.auge,oppstafford@iinet.net.auge,",,-28.6855364,114.6139102,,,,,,Active,58 752 984 995,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Moonee Beach Pharmacy,Chemist & Pharmacy Stores,Shop 10 Moonee Beach Shopping Centre,Moonee Beach,NSW,2450,(02) 6656 4044,http://www.mooneebeachpharmacy.com.au/,"moonee@people.net.au,",,-30.2070568,153.1537348,,,,,,Active,16 408 620 467,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
McBeath Pharmacy,Chemist & Pharmacy Stores,"Main Entrance Westmead Hospital, Corner Hawkesbury and Darcy Roads",Westmead,NSW,2145,(02) 8865 7797,https://www.mcbeath.com.au/,"mcbeath.westmead@mcbeath.com.au,",,-33.803577,150.982922,,,,,,Active,67 063 102 701,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
